nome,specie,razza,eta,sesso,colore,peso,altezza,url_img,info
Bella,Gatto,Siberiano,6,Femmina,Nero,3.72,30.47,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Siberiano, colore Nero."
Luna,Cane,Beagle,9,Maschio,Grigio,4.55,33.5,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,"Cane di razza Beagle, colore Grigio."
Milo,Gatto,Bengala,6,Maschio,Marrone,8.05,18.09,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Bengala, colore Marrone."
Lucy,Gatto,Siamese,8,Maschio,Tigrato,6.49,32.34,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siamese, colore Tigrato."
Lucy,Cane,Bulldog Francese,2,Femmina,Grigio,6.61,28.64,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Bulldog Francese, colore Grigio."
Micia,Cane,Bulldog Francese,5,Femmina,Bianco,9.92,22.16,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Bulldog Francese, colore Bianco."
Milo,Gatto,Siamese,9,Maschio,Marrone,6.32,23.46,https://images.unsplash.com/photo-1592194996308-7f8d3d28d77e,"Gatto di razza Siamese, colore Marrone."
Milo,Cane,Labrador,5,Maschio,Nero,4.85,63.55,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Labrador, colore Nero."
Oscar,Cane,Bulldog Francese,2,Maschio,Bianco,31.84,23.48,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Bulldog Francese, colore Bianco."
Bella,Cane,Beagle,12,Femmina,Dorato,38.89,53.15,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Beagle, colore Dorato."
Micia,Gatto,Siberiano,8,Maschio,Marrone,7.92,16.49,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siberiano, colore Marrone."
Bella,Gatto,Bengala,2,Femmina,Tigrato,4.38,29.17,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Bengala, colore Tigrato."
